timestamp, index, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB]
2025/02/07 18:54:06.249, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:54:11.250, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:54:16.250, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:54:21.251, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:54:26.252, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:54:31.253, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:54:36.253, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:54:41.254, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:54:46.255, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:54:51.255, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:54:56.256, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:01.257, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:06.257, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:11.258, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:16.259, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:21.259, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:26.260, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:31.261, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:36.261, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:41.262, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:46.263, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:51.263, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:55:56.264, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:01.265, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:06.265, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:11.266, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:16.267, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:21.267, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:26.268, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:31.269, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:36.269, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:41.270, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:46.271, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:51.271, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:56:56.272, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:01.273, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:06.273, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:11.274, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:16.275, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:21.275, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:26.276, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:31.277, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:36.277, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:41.278, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:46.279, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:51.279, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:57:56.280, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:01.281, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:06.281, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:11.282, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:16.283, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:21.283, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:26.284, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:31.285, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:36.285, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:41.286, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:46.287, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:51.287, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:58:56.288, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:01.288, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:06.289, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:11.290, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:16.291, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:21.291, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:26.292, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:31.293, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:36.293, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:41.294, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:46.295, 0, 0 %, 0 %, 12288 MiB, 0 MiB, 12193 MiB
2025/02/07 18:59:51.295, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 18:59:56.296, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:01.296, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:06.297, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
2025/02/07 19:00:11.298, 0, 0 %, 0 %, 12288 MiB, 11694 MiB, 499 MiB
